review_id,age,age_group,brand,model,price_usd,price_category,rating,sentiment,review_text,country,language,source,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes
33554,18,18-29,Apple,iPhone SE,761.54,Premium,3,Neutral,"Does what it’s supposed to, nothing special. Okay for casual use.",India,Hindi,Amazon,1,3,3,5,3,2,3
9428,29,18-29,Apple,iPhone 13,958.42,Premium,2,Neutral,Software updates are delayed sometimes. Fine but could be better.,UAE,English,eBay,1,1,1,1,3,1,1
200,18,18-29,Apple,iPhone 13,1311.55,Flagship,2,Positive,Build quality feels solid and durable. Absolutely worth it!,Brazil,Portuguese,BestBuy,1,2,1,1,2,2,4
12448,23,18-29,Apple,iPhone 15 Pro,924.81,Premium,3,Neutral,Sound quality is okay but not very loud. Fine but could be better.,Canada,English,Amazon,1,5,3,2,3,4,3
39490,24,18-29,OnePlus,OnePlus Nord 3,484.24,Mid-Range,4,Positive,Display is crisp and vibrant — perfect for gaming. Loving it so far!,Canada,English,eBay,1,4,3,3,3,3,4
42725,23,18-29,Google,Pixel 6,850.93,Premium,3,Neutral,Neutral feelings — neither great nor bad. Okay for casual use.,UK,English,Amazon,0,4,4,3,3,2,1
10823,23,18-29,Apple,iPhone 13,875.13,Premium,4,Positive,Display is crisp and vibrant — perfect for gaming. Best purchase of the year!,USA,English,BestBuy,0,3,3,4,3,4,6
49499,32,30-39,OnePlus,OnePlus Nord 3,680.88,Premium,1,Negative,Camera quality is very poor indoors. Not up to the mark.,India,Hindi,Flipkart,0,1,2,1,1,3,3
4145,43,40-49,Google,Pixel 7a,1003.38,Flagship,2,Negative,Overheats quickly while gaming. Wouldn’t recommend.,UAE,English,AliExpress,1,3,2,1,2,1,4
36959,29,18-29,Apple,iPhone 14,840.28,Premium,4,Positive,Fast charging is a lifesaver. Loving it so far!,Canada,English,Flipkart,1,4,3,4,4,3,6
43107,18,18-29,Google,Pixel 7a,901.42,Premium,4,Positive,Design feels premium and stylish. Best purchase of the year!,Canada,English,BestBuy,1,5,4,2,3,2,3
38696,23,18-29,Apple,iPhone 15 Pro,1452.85,Flagship,3,Positive,Build quality feels solid and durable. Loving it so far!,Australia,English,Amazon,1,2,1,2,3,2,4
6189,31,30-39,Google,Pixel 7a,1043.27,Flagship,2,Neutral,Software updates are delayed sometimes. Okay for casual use.,Germany,German,Amazon,1,1,1,1,3,3,2
1415,46,40-49,Realme,Realme 12 Pro,444.63,Mid-Range,3,Neutral,Battery life could be slightly better. Average experience overall.,Brazil,Portuguese,eBay,0,4,2,2,2,5,2
18472,30,30-39,OnePlus,OnePlus Nord 3,401.54,Mid-Range,3,Positive,Worth every penny. Highly recommended! Loving it so far!,UAE,English,AliExpress,1,2,3,4,3,3,5
29283,45,40-49,Xiaomi,Poco X6,627.31,Premium,4,Positive,"Face unlock is instant, super smooth. Best purchase of the year!",UAE,English,BestBuy,0,4,3,4,3,3,4
15178,36,30-39,Apple,iPhone SE,1382.43,Flagship,1,Negative,Battery drains too fast even on standby. Returning this soon.,Brazil,Portuguese,Flipkart,1,1,1,1,2,1,1
34305,33,30-39,Samsung,Galaxy Z Flip,964.77,Premium,4,Neutral,Battery life could be slightly better. Average experience overall.,UK,English,Amazon,0,3,4,3,5,2,4
12610,33,30-39,OnePlus,OnePlus 11R,575.26,Mid-Range,2,Neutral,Sound quality is okay but not very loud. Okay for casual use.,Germany,German,eBay,0,1,2,2,1,1,1
12145,18,18-29,Motorola,Razr 40,466.18,Mid-Range,1,Negative,Not worth the money spent. Very disappointed.,India,Hindi,Flipkart,1,1,1,1,2,1,2
6114,18,18-29,Google,Pixel 6,979.05,Premium,4,Neutral,Battery life could be slightly better. Average experience overall.,USA,English,eBay,1,4,3,2,4,3,1
15909,26,18-29,Motorola,Razr 40,553.54,Mid-Range,2,Neutral,Battery life could be slightly better. Okay for casual use.,Brazil,Portuguese,BestBuy,1,1,1,2,1,1,1
822,45,40-49,Motorola,Razr 40,775.01,Premium,5,Positive,Fast charging is a lifesaver. Best purchase of the year!,UAE,English,eBay,0,5,3,5,5,5,3
15119,18,18-29,Xiaomi,Poco X6,646.98,Premium,2,Negative,Speaker quality is bad and muffled. Returning this soon.,Germany,German,Amazon,0,1,2,3,3,3,2
13467,22,18-29,Samsung,Galaxy Note 20,1360.54,Flagship,1,Negative,Not worth the money spent. Very disappointed.,Brazil,Portuguese,Amazon,1,1,1,1,1,3,3
26498,23,18-29,Google,Pixel 6,864.83,Premium,3,Negative,Camera quality is very poor indoors. Returning this soon.,UAE,English,Flipkart,1,3,3,2,2,2,3
42112,25,18-29,Realme,Realme 12 Pro,538.07,Mid-Range,4,Positive,Display is crisp and vibrant — perfect for gaming. Best purchase of the year!,Canada,English,Flipkart,0,5,3,3,3,5,10
30189,18,18-29,OnePlus,OnePlus 12,843.44,Premium,3,Positive,Worth every penny. Highly recommended! Loving it so far!,Canada,English,AliExpress,1,3,1,1,3,4,5
37238,26,18-29,OnePlus,OnePlus 12,717.54,Premium,1,Negative,Phone lags often after a few apps. Not up to the mark.,USA,English,Flipkart,1,1,1,2,2,1,0
33110,18,18-29,Xiaomi,Poco X6,213.96,Budget,2,Neutral,Sound quality is okay but not very loud. Fine but could be better.,Canada,English,Amazon,1,2,1,1,3,2,2
36481,30,30-39,Samsung,Galaxy Z Flip,1180.09,Flagship,4,Positive,Fast charging is a lifesaver. No regrets buying this one.,Germany,German,eBay,0,3,5,4,4,4,1
24149,44,40-49,Motorola,Moto G Power,280.01,Budget,3,Positive,Absolutely love this phone! The camera is next level. Absolutely worth it!,Brazil,Portuguese,eBay,0,5,2,2,4,1,6
5504,35,30-39,Samsung,Galaxy S24,604.11,Premium,4,Positive,Worth every penny. Highly recommended! Loving it so far!,Germany,German,eBay,1,4,3,3,3,4,7
3919,33,30-39,Google,Pixel 6,1036.73,Flagship,4,Positive,Design feels premium and stylish. Absolutely worth it!,UK,English,BestBuy,1,4,4,4,3,5,5
38479,38,30-39,Samsung,Galaxy Z Flip,1026.23,Flagship,4,Positive,Battery easily lasts a day with heavy use. Loving it so far!,Canada,English,eBay,1,4,4,4,4,3,6
21124,43,40-49,OnePlus,OnePlus 11R,669.86,Premium,3,Positive,Absolutely love this phone! The camera is next level. Loving it so far!,Germany,German,Flipkart,1,3,1,2,2,2,9
49718,36,30-39,Motorola,Moto G Power,393.48,Mid-Range,3,Neutral,Sound quality is okay but not very loud. Average experience overall.,Canada,English,eBay,1,3,2,3,3,4,4
42295,40,40-49,Samsung,Galaxy S24,1163.04,Flagship,1,Negative,Camera quality is very poor indoors. Wouldn’t recommend.,Australia,English,Amazon,0,1,1,1,1,1,4
47610,48,40-49,Realme,Realme 12 Pro,389.01,Mid-Range,1,Negative,Speaker quality is bad and muffled. Returning this soon.,Brazil,Portuguese,Flipkart,1,1,1,1,1,1,1
11077,18,18-29,OnePlus,OnePlus Nord 3,449.96,Mid-Range,2,Neutral,"Overall decent, but expected a bit more for the price. Average experience overall.",Canada,English,Amazon,1,1,3,1,1,3,2
41515,37,30-39,Realme,Realme 12 Pro,218.19,Budget,5,Positive,Battery easily lasts a day with heavy use. Absolutely worth it!,Australia,English,Amazon,1,5,5,4,5,4,10
22063,35,30-39,Motorola,Moto G Power,394.66,Mid-Range,1,Negative,Not worth the money spent. Very disappointed.,Brazil,Portuguese,Flipkart,1,1,3,1,1,2,1
9414,36,30-39,Google,Pixel 6,666.21,Premium,3,Positive,Loving the clean UI and fast updates. No regrets buying this one.,UAE,English,AliExpress,1,2,4,2,4,2,5
38341,24,18-29,Realme,Realme 12 Pro,378.12,Mid-Range,1,Negative,Charging is very slow compared to other brands. Not up to the mark.,Brazil,Portuguese,Flipkart,1,1,1,1,1,1,1
30264,40,40-49,Xiaomi,Mi 13 Pro,645.76,Premium,4,Positive,Smooth performance even after months of use. Absolutely worth it!,Canada,English,AliExpress,0,5,3,3,4,3,13
41253,26,18-29,Apple,iPhone 14,988.05,Premium,4,Positive,Design feels premium and stylish. Absolutely worth it!,Brazil,Portuguese,Amazon,1,4,2,1,3,4,1
14645,27,18-29,Apple,iPhone 15 Pro,1359.56,Flagship,4,Positive,Worth every penny. Highly recommended! No regrets buying this one.,Canada,English,Amazon,1,3,4,3,5,4,7
