customer_id,geo_region,geo_city,offer,acquisition_source,acquisition_channel,ad_campaign_id,first_order_date,last_order_date,total_orders,ltv_lifetime,total_profit,is_repeat,ltv_d7,ltv_d30,ltv_d60,ltv_d90,ltv_d180,ltv_d365,is_whale
7164,Klang Valley,Ampang,Walk-in (No Promo),Paid Social,Instagram,IN-KV-W(P-2024Q1,2024-03-07,2024-03-07,1,219.0,127.0,0,219.0,219.0,219.0,219.0,219.0,219.0,0
10386,Johor,Segamat,Free Alignment,Walk-in,Walk-in,WALK-IN,2024-12-21,2024-12-21,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1903,Klang Valley,Subang Jaya,Free Engine Check,Organic,Organic Search,ORGANIC,2023-12-09,2024-10-01,3,1357.0,801.0,1,0.0,0.0,0.0,0.0,704.0,1357.0,0
3398,Klang Valley,Subang Jaya,Free Alignment,Paid Social,Instagram,IN-KV-FA-2022Q4,2022-11-08,2023-03-02,2,2028.0,913.0,1,0.0,0.0,0.0,0.0,2028.0,2028.0,0
11696,Penang,Balik Pulau,Aircond Service Package,Paid Social,Facebook,FA-PG-ASP-2022Q3,2022-07-02,2023-12-21,4,734.0,422.0,1,192.0,192.0,192.0,192.0,192.0,570.0,0
6444,Klang Valley,Puchong,Free Alignment,Walk-in,Walk-in,WALK-IN,2022-12-22,2023-07-01,2,117.0,64.0,1,0.0,0.0,0.0,0.0,0.0,117.0,0
10787,Klang Valley,Ampang,Free Alignment,Organic,Organic Search,ORGANIC,2024-04-02,2024-07-31,2,204.0,118.0,1,0.0,0.0,0.0,0.0,204.0,204.0,0
9407,Klang Valley,Shah Alam,Free Alignment,Paid Social,Instagram,IN-KV-FA-2024Q3,2024-07-09,2024-07-09,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
4637,Klang Valley,Kajang,Free Engine Check,Paid Search,Google,GO-KV-FEC-2023Q2,2023-04-26,2023-12-08,3,1286.0,548.0,1,188.0,188.0,188.0,188.0,188.0,1286.0,0
1174,Johor,Pasir Gudang,Oil Change Package,Paid Search,Google,GO-JH-OCP-2022Q4,2022-12-23,2022-12-23,1,448.0,224.0,0,448.0,448.0,448.0,448.0,448.0,448.0,0
2031,Johor,Muar,RM50 Service Voucher,Paid Social,Facebook,FA-JH-RSV-2022Q3,2022-07-28,2023-07-08,3,1219.0,530.0,1,492.0,492.0,492.0,492.0,492.0,1219.0,0
2489,Johor,Johor Bahru,Free Alignment,Paid Social,Facebook,FA-JH-FA-2024Q2,2024-04-30,2024-04-30,2,614.0,246.0,1,614.0,614.0,614.0,614.0,614.0,614.0,0
